SUPPLIER_NAME,SUPPLIER_ID,SUPPLIER_POSTCODE,SUPPLIER_COUNTRY,NUM_SUPPLIERS,CONTRACT_BUYER,CONTRACT_BUYER_POSTCODE,CONTRACT_TITLE,CONTRACT_DATE,CONTRACT_DESC,CONTRACT_URL,CONTRACT_VALUE,CONTRACT_CURRENCY
Baxter Healthcare Ltd,,,UK,1,The Royal Marsden NHS Foundation Trusts,SW10 0XD,Contract for Preparation and Supply Patient Specific Doses of Systemic Anti-Cancer Therapy (SACT),20200103,Purchase of patients specific doses SACT for Royal Marsden Hospital.,http://ted.europa.eu/udl?uri=TED:NOTICE:001412-2020:TEXT:EN:HTML,1000000-4000000,GBP
Grafton Merchanting GB,,,UK,1,London and Quadrant Housing Trust,,London and Quadrant Housing Trust — Cement Weatherboarding (Merchants) Framework 2020-2024,20200103,"London and Quadrant Housing Trust and its subsidiary Quadrant Construction Services are one of the largest providers of affordable housing in the UK, housing over 250 000 people in more than 95 000 homes, primarily across London and the South East of England. London and Quadrant Housing Trust are tendering for the provision of Concrete Weatherboarding Merchants for London and Quadrant’s Self Delivered new build projects to comply with the Public Contracts regulations 2015. The objective of this tender process is to establish a framework agreement with the tenderers and London and Quadrant Housing Trust. The dates and contract value are estimates and could be subject to change. This is tender is for merchants only. Rebates will be required.",http://ted.europa.eu/udl?uri=TED:NOTICE:001592-2020:TEXT:EN:HTML,5000000,GBP
Ace Care 4 U Ltd,,,UK,1,Nottingham City Council,NG2 3NG,CPU 2157 Care at Home Services for Adults Accreditation,20200103,Nottingham City Council is to establish a new accredited provider list of experienced organisations able to deliver care at home for adults. The accreditation will form the mechanism for securing providers that are required in addition to those provided under the lead provider contracts for this service.,http://ted.europa.eu/udl?uri=TED:NOTICE:001957-2020:TEXT:EN:HTML,55641250-55641250,GBP
Royal College of Psychiatrists,,E1 8BB,UK,1,Healthcare Quality Improvement Partnership (HQIP),EC3N 2EX,HQIP NCA 2057 The National Audit of Dementia,20200103,"The National Audit of Dementia (NAD) was first commissioned by HQIP in 2008 and has been delivered to date by the Royal College of Psychiatrists. Designed as a comparative audit of the quality of care delivered to people with dementia admitted to general hospitals, national data collections were achieved in 2010 and 2012, with the latest 5 year contract in place from 2015 until the end of 2019. The successful tenderer will build on the experiences and achievements of the audit since its inception.",http://ted.europa.eu/udl?uri=TED:NOTICE:001965-2020:TEXT:EN:HTML,1047971.00,GBP
DA Languages Ltd,06207784,M320FP,UK,1,Derby City Council,DE1 2FS,TD1394 — The Provision of Interpretation and Translation Services,20200103,Derby City Council requires interpretation and translation services to facilitate access to Council services for its citizens who have English as an additional language.,http://ted.europa.eu/udl?uri=TED:NOTICE:002073-2020:TEXT:EN:HTML,1550000.00,EUR
Advance Housing and Support Ltd,,,UK,1,Southend-on-Sea Borough Council,SS2 6YL,Individual Supported Living Provision for Adults with a Learning Disability,20200103,Individual supported living for 5 adults who have a learning disability living in the community in 3 groupings in the Southend-on-Sea area.,http://ted.europa.eu/udl?uri=TED:NOTICE:002074-2020:TEXT:EN:HTML,2716955.70,GBP
Staffordshire North and Stoke-on-Trent Citizens Advice Bureaux,,ST1 1HL,UK,2,"Staffordshire Commissioner Police, Fire and Rescue, Crime",ST18 0YY,Provision of a Staffordshire Victims Gateway,20200103,"The commissioner is intending to enter into a contract(s) for the delivery of a victim gateway service, in Staffordshire and Stoke-on-Trent.",http://ted.europa.eu/udl?uri=TED:NOTICE:002082-2020:TEXT:EN:HTML,2443125.00,GBP
Staffordshire Chambers of Commerce and Industry Ltd,,ST1 5BE,UK,2,"Staffordshire Commissioner Police, Fire and Rescue, Crime",ST18 0YY,Provision of a Staffordshire Victims Gateway,20200103,"The commissioner is intending to enter into a contract(s) for the delivery of a victim gateway service, in Staffordshire and Stoke-on-Trent.",http://ted.europa.eu/udl?uri=TED:NOTICE:002082-2020:TEXT:EN:HTML,2443125.00,GBP
FCC Waste Services (UK) Ltd,,,UK,1,Suffolk County Council,IP1 2BX,West Suffolk Garden Waste,20200103,"Manage, maintain and operate composting facilities to accept and process garden waste collected by West Suffolk on the days and times required. Core operating hours when the facilities must be open to receive garden waste are 7.00 to 17.00 Monday to Friday. The contractor shall ensure that consents and planning permissions allow for additional opening when requested which may include weekends, public holidays, bank holidays and late opening. West Suffolk will work with the successful contractor to establish dates where bank holiday/weekend working is required. Receive and process garden waste to produce a compost material to accepted industry standards. For the avoidance of doubt the processed material must be classed as recycled in accordance with National Indicator 192 (http://www.sandwelltrends.info/lisv2/ni_handbook/NI192.pdf) or any future amendment to this standard.",http://ted.europa.eu/udl?uri=TED:NOTICE:002278-2020:TEXT:EN:HTML,1500000,GBP
City Health Care Partnership CIC,,HU3 4AE,UK,1,East Riding of Yorkshire Council,HU17 9BA,Integrated Sexual Health Service,20200103,"The services commissioned by East Riding of Yorkshire Public Health will comprise of an open access community based service delivered across a large rural area. It will incorporate: the provision of the full range of contraceptive methods, STI testing and treatment and will include HIV testing, and prevention and promotion activities. The service does not include long acting reversible contraception or emergency hormonal contraception services in primary care; which are commissioned separately.",http://ted.europa.eu/udl?uri=TED:NOTICE:002331-2020:TEXT:EN:HTML,9198000,GBP
