DATE,SOURCE,BUYER,SECTOR,TITLE,VALUE,NUM_SUPPLIERS,SUPPLIER,DESCRIPTION
01 Nov 2019,Contracts Finder,Plymouth City Council,CONSTRUCTION,Broadley Park Construction,£0-£2M,1,Devon Contractors,"The provision of high quality, flexible employment space.

This project is for the construction of new light industrial units at land off Broadley Park Industrial Estate in Plymouth.

This will be for design and build.

This project provides Plymouth City Council the opportunity to actively promote the growth agenda and create / support up to 62 FTE jobs.

This will be achieved by providing high quality, speculative employment accommodation on Council owned land at Broadley Park Industrial Estate, Roborough, Plymouth.

The proposal is to deliver 2,090 sq m (22,500 sq ft) of high quality, sustainable workspace for SME businesses.

It is proposed that the development will incorporate sustainable technologies to minimise carbon emissions and running costs, potentially including the following: solar photovoltaic, increased levels of insulation, increased levels of natural daylight and ventilation and highly efficient heating systems."
01 Nov 2019,Contracts Finder,South East Consortium,CONSTRUCTION,Internal & External Building Works Framework,£0-£100M,37,Whittle Programmed Maintnance,"South East Consortium are tendering a framework for Internal and External Building Works.

The framework is split into 6 different Lots covering Major Refurbishments, Kitchens & Bathrooms, Windows & Doors, Roofing, Electrical Works and Cyclical Decorations.Tenderers are able to apply for either Lot 1a or 1b and up to 3 other lots, (maximum of 4 lots).

If you are applying for more than one lot only one set of quality responses will be required."
01 Nov 2019,Contracts Finder,South East Consortium,CONSTRUCTION,Internal & External Building Works Framework,£0-£100M,37,Engie Regeneration,"South East Consortium are tendering a framework for Internal and External Building Works.

The framework is split into 6 different Lots covering Major Refurbishments, Kitchens & Bathrooms, Windows & Doors, Roofing, Electrical Works and Cyclical Decorations.Tenderers are able to apply for either Lot 1a or 1b and up to 3 other lots, (maximum of 4 lots).

If you are applying for more than one lot only one set of quality responses will be required."
01 Nov 2019,Contracts Finder,South East Consortium,CONSTRUCTION,Internal & External Building Works Framework,£0-£100M,37,Amber Construction Services,"South East Consortium are tendering a framework for Internal and External Building Works.

The framework is split into 6 different Lots covering Major Refurbishments, Kitchens & Bathrooms, Windows & Doors, Roofing, Electrical Works and Cyclical Decorations.Tenderers are able to apply for either Lot 1a or 1b and up to 3 other lots, (maximum of 4 lots).

If you are applying for more than one lot only one set of quality responses will be required."
01 Nov 2019,Contracts Finder,South East Consortium,CONSTRUCTION,Internal & External Building Works Framework,£0-£100M,37,Foster Property Maintenance,"South East Consortium are tendering a framework for Internal and External Building Works.

The framework is split into 6 different Lots covering Major Refurbishments, Kitchens & Bathrooms, Windows & Doors, Roofing, Electrical Works and Cyclical Decorations.Tenderers are able to apply for either Lot 1a or 1b and up to 3 other lots, (maximum of 4 lots).

If you are applying for more than one lot only one set of quality responses will be required."
01 Nov 2019,Contracts Finder,South East Consortium,CONSTRUCTION,Internal & External Building Works Framework,£0-£100M,37,Arc Group London,"South East Consortium are tendering a framework for Internal and External Building Works.

The framework is split into 6 different Lots covering Major Refurbishments, Kitchens & Bathrooms, Windows & Doors, Roofing, Electrical Works and Cyclical Decorations.Tenderers are able to apply for either Lot 1a or 1b and up to 3 other lots, (maximum of 4 lots).

If you are applying for more than one lot only one set of quality responses will be required."
01 Nov 2019,Contracts Finder,South East Consortium,CONSTRUCTION,Internal & External Building Works Framework,£0-£100M,37,Rbenson Property Maintenance,"South East Consortium are tendering a framework for Internal and External Building Works.

The framework is split into 6 different Lots covering Major Refurbishments, Kitchens & Bathrooms, Windows & Doors, Roofing, Electrical Works and Cyclical Decorations.Tenderers are able to apply for either Lot 1a or 1b and up to 3 other lots, (maximum of 4 lots).

If you are applying for more than one lot only one set of quality responses will be required."
01 Nov 2019,Contracts Finder,South East Consortium,CONSTRUCTION,Internal & External Building Works Framework,£0-£100M,37,MITIE Property Services,"South East Consortium are tendering a framework for Internal and External Building Works.

The framework is split into 6 different Lots covering Major Refurbishments, Kitchens & Bathrooms, Windows & Doors, Roofing, Electrical Works and Cyclical Decorations.Tenderers are able to apply for either Lot 1a or 1b and up to 3 other lots, (maximum of 4 lots).

If you are applying for more than one lot only one set of quality responses will be required."
01 Nov 2019,Contracts Finder,South East Consortium,CONSTRUCTION,Internal & External Building Works Framework,£0-£100M,37,Novus Property Solutions,"South East Consortium are tendering a framework for Internal and External Building Works.

The framework is split into 6 different Lots covering Major Refurbishments, Kitchens & Bathrooms, Windows & Doors, Roofing, Electrical Works and Cyclical Decorations.Tenderers are able to apply for either Lot 1a or 1b and up to 3 other lots, (maximum of 4 lots).

If you are applying for more than one lot only one set of quality responses will be required."
01 Nov 2019,Contracts Finder,South East Consortium,CONSTRUCTION,Internal & External Building Works Framework,£0-£100M,37,George Jones & Son Contractors,"South East Consortium are tendering a framework for Internal and External Building Works.

The framework is split into 6 different Lots covering Major Refurbishments, Kitchens & Bathrooms, Windows & Doors, Roofing, Electrical Works and Cyclical Decorations.Tenderers are able to apply for either Lot 1a or 1b and up to 3 other lots, (maximum of 4 lots).

If you are applying for more than one lot only one set of quality responses will be required."
01 Nov 2019,Contracts Finder,South East Consortium,CONSTRUCTION,Internal & External Building Works Framework,£0-£100M,37,Highview Roofing & Externals,"South East Consortium are tendering a framework for Internal and External Building Works.

The framework is split into 6 different Lots covering Major Refurbishments, Kitchens & Bathrooms, Windows & Doors, Roofing, Electrical Works and Cyclical Decorations.Tenderers are able to apply for either Lot 1a or 1b and up to 3 other lots, (maximum of 4 lots).

If you are applying for more than one lot only one set of quality responses will be required."
01 Nov 2019,Contracts Finder,South East Consortium,CONSTRUCTION,Internal & External Building Works Framework,£0-£100M,37,Morgan Sindall Property Services,"South East Consortium are tendering a framework for Internal and External Building Works.

The framework is split into 6 different Lots covering Major Refurbishments, Kitchens & Bathrooms, Windows & Doors, Roofing, Electrical Works and Cyclical Decorations.Tenderers are able to apply for either Lot 1a or 1b and up to 3 other lots, (maximum of 4 lots).

If you are applying for more than one lot only one set of quality responses will be required."
01 Nov 2019,Contracts Finder,South East Consortium,CONSTRUCTION,Internal & External Building Works Framework,£0-£100M,37,M&J Flat Roofing,"South East Consortium are tendering a framework for Internal and External Building Works.

The framework is split into 6 different Lots covering Major Refurbishments, Kitchens & Bathrooms, Windows & Doors, Roofing, Electrical Works and Cyclical Decorations.Tenderers are able to apply for either Lot 1a or 1b and up to 3 other lots, (maximum of 4 lots).

If you are applying for more than one lot only one set of quality responses will be required."
